Regulating prices in NOK/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 24-11-2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
09-01-2021,00 - 01,"492,14","492,14","492,14","492,14","492,14","492,14","439,81","439,81","492,14","492,14",,,,,,,,,,,,,,
09-01-2021,01 - 02,"486,56","486,56","486,56","486,56","486,56","486,56","393,67","393,67","486,56","486,56",,,,,,,,,,,,,,
09-01-2021,02 - 03,"480,77","480,77","480,77","480,77","480,77","480,77","364,61","364,61","480,77","480,77",,,,,,,,,,,,,,
09-01-2021,03 - 04,"493,07","493,07","493,07","493,07","493,07","493,07","339,37","339,37","493,07","493,07",,,,,,,,,,,,,,
09-01-2021,04 - 05,"496,90","496,90","496,90","496,90","496,90","496,90","338,75","338,75","496,90","496,90",,,,,,,,,,,,,,
09-01-2021,05 - 06,"494,11","494,11","494,11","494,11","445,49","445,49","339,16","339,16","494,11","494,11",,,,,,,,,,,,,,
09-01-2021,06 - 07,"499,18","465,46","499,18","465,46","439,39","439,39","299,34","299,34","499,18","465,46",,,,,,,,,,,,,,
09-01-2021,07 - 08,"539,52","539,52","539,52","539,52","421,50","421,50","276,79","276,79","539,52","539,52",,,,,,,,,,,,,,
09-01-2021,08 - 09,"601,06","496,49","601,06","496,49","425,95","425,95","297,27","297,27","601,06","496,49",,,,,,,,,,,,,,
09-01-2021,09 - 10,"669,02","475,80","669,02","475,80","433,29","433,29","356,64","356,64","669,02","475,80",,,,,,,,,,,,,,
09-01-2021,10 - 11,"678,64","475,80","678,64","475,80","429,15","429,15","400,09","400,09","678,64","475,80",,,,,,,,,,,,,,
09-01-2021,11 - 12,"817,14","506,83","817,14","506,83","413,53","413,53","372,16","372,16","817,14","506,83",,,,,,,,,,,,,,
09-01-2021,12 - 13,"930,92","672,02","930,92","672,02","402,47","402,47","378,99","378,99","930,92","672,02",,,,,,,,,,,,,,
09-01-2021,13 - 14,"817,14","626,30","817,14","626,30","392,23","308,53","374,64","308,53","817,14","626,30",,,,,,,,,,,,,,
09-01-2021,14 - 15,"650,00","601,37","650,00","601,37","389,12","299,96","385,40","299,96","650,00","601,37",,,,,,,,,,,,,,
09-01-2021,15 - 16,"744,73","601,37","744,73","601,37","396,36","258,59","386,43","258,59","744,73","601,37",,,,,,,,,,,,,,
09-01-2021,16 - 17,"1189,50","629,20","1189,50","629,20","403,71","258,59","362,44","258,59","1189,50","629,20",,,,,,,,,,,,,,
09-01-2021,17 - 18,"1390,40","712,36","1390,40","712,36","407,64","248,24","344,13","248,24","1390,40","712,36",,,,,,,,,,,,,,
09-01-2021,18 - 19,"2068,70","720,84","2068,70","720,84","413,02","237,90","413,02","237,90","2068,70","720,84",,,,,,,,,,,,,,
09-01-2021,19 - 20,"2068,70","680,29","2068,70","680,29","406,81","227,56","399,88","227,56","2068,70","680,29",,,,,,,,,,,,,,
09-01-2021,20 - 21,"879,20","516,45","879,20","516,45","399,98","217,21","353,44","217,21","879,20","516,45",,,,,,,,,,,,,,
09-01-2021,21 - 22,"620,61","495,97","620,61","495,97","398,43","217,21","344,34","217,21","620,61","495,97",,,,,,,,,,,,,,
09-01-2021,22 - 23,"517,18","449,63","517,18","449,63","411,05","217,21","338,75","217,21","517,18","449,63",,,,,,,,,,,,,,
09-01-2021,23 - 00,"517,18","378,99","517,18","378,99","378,99","227,56","291,48","227,56","517,18","378,99",,,,,,,,,,,,,,
10-01-2021,00 - 01,"514,32","399,52","514,32","399,52","366,60","235,00","366,60","235,00","514,32","399,52",,,,,,,,,,,,,,
10-01-2021,01 - 02,"411,45","370,00","411,45","370,00","411,45","335,23","411,45","335,23","411,45","370,00",,,,,,,,,,,,,,
10-01-2021,02 - 03,"411,45","353,33","411,45","353,33","411,45","321,34","411,45","321,34","411,45","353,33",,,,,,,,,,,,,,
10-01-2021,03 - 04,"406,31","348,40","406,31","348,40","406,31","311,06","406,31","299,23","406,31","348,40",,,,,,,,,,,,,,
10-01-2021,04 - 05,"363,00","348,09","363,00","348,09","363,00","300,57","363,00","298,82","363,00","348,09",,,,,,,,,,,,,,
10-01-2021,05 - 06,"366,81","351,89","366,81","351,89","366,81","305,19","366,81","305,19","366,81","351,89",,,,,,,,,,,,,,
10-01-2021,06 - 07,"364,96","350,04","364,96","350,04","364,96","311,78","364,96","308,07","364,96","350,04",,,,,,,,,,,,,,
10-01-2021,07 - 08,"386,87","386,87","386,87","386,87","310,95","310,95","280,40","280,40","386,87","386,87",,,,,,,,,,,,,,
10-01-2021,08 - 09,"402,09","402,09","402,09","402,09","331,63","331,63","294,39","294,39","402,09","402,09",,,,,,,,,,,,,,
10-01-2021,09 - 10,"419,27","419,27","419,27","419,27","358,68","358,68","299,23","299,23","419,27","419,27",,,,,,,,,,,,,,
10-01-2021,10 - 11,"454,24","454,24","454,24","454,24","399,21","399,21","348,81","348,81","454,24","454,24",,,,,,,,,,,,,,
10-01-2021,11 - 12,"480,27","466,38","480,27","466,38","480,27","411,35","480,27","398,29","480,27","466,38",,,,,,,,,,,,,,
10-01-2021,12 - 13,"460,41","460,41","460,41","460,41","411,35","411,35","398,80","398,80","460,41","460,41",,,,,,,,,,,,,,
10-01-2021,13 - 14,"456,09","456,09","456,09","456,09","413,82","413,82","413,82","413,82","456,09","456,09",,,,,,,,,,,,,,
10-01-2021,14 - 15,"467,51","467,51","467,51","467,51","442,31","442,31","442,31","442,31","467,51","467,51",,,,,,,,,,,,,,
10-01-2021,15 - 16,"480,06","480,06","480,06","480,06","477,28","477,28","444,57","444,57","480,06","480,06",,,,,,,,,,,,,,
10-01-2021,16 - 17,"521,72","521,72","521,72","521,72","513,59","513,59","448,38","448,38","521,72","521,72",,,,,,,,,,,,,,
10-01-2021,17 - 18,"565,23","565,23","565,23","565,23","565,23","565,23","438,30","438,30","565,23","565,23",,,,,,,,,,,,,,
10-01-2021,18 - 19,"548,67","548,67","548,67","548,67","548,67","548,67","398,18","398,18","548,67","548,67",,,,,,,,,,,,,,
10-01-2021,19 - 20,"508,04","508,04","508,04","508,04","508,04","508,04","398,90","398,90","508,04","508,04",,,,,,,,,,,,,,
10-01-2021,20 - 21,"477,59","477,59","477,59","477,59","477,59","477,59","398,39","398,39","477,59","477,59",,,,,,,,,,,,,,
10-01-2021,21 - 22,"457,64","457,64","457,64","457,64","457,64","457,64","398,70","398,70","457,64","457,64",,,,,,,,,,,,,,
10-01-2021,22 - 23,"429,97","412,17","429,97","412,17","429,97","412,17","429,97","398,59","429,97","412,17",,,,,,,,,,,,,,
10-01-2021,23 - 00,"390,88","369,07","390,88","369,07","390,88","369,07","390,88","369,07","390,88","369,07",,,,,,,,,,,,,,
11-01-2021,00 - 01,"417,62","417,62","417,62","417,62","417,62","417,62","398,29","398,29","417,62","417,62",,,,,,,,,,,,,,
11-01-2021,01 - 02,"407,23","407,23","407,23","407,23","407,23","407,23","338,11","338,11","407,23","407,23",,,,,,,,,,,,,,
11-01-2021,02 - 03,"388,62","388,62","388,62","388,62","388,62","388,62","314,04","314,04","388,62","388,62",,,,,,,,,,,,,,
11-01-2021,03 - 04,"364,44","364,44","364,44","364,44","364,44","364,44","315,79","315,79","364,44","364,44",,,,,,,,,,,,,,
11-01-2021,04 - 05,"383,58","383,58","383,58","383,58","383,58","383,58","337,70","337,70","383,58","383,58",,,,,,,,,,,,,,
11-01-2021,05 - 06,"425,96","345,00","425,96","345,00","425,96","345,00","398,70","345,00","425,96","345,00",,,,,,,,,,,,,,
11-01-2021,06 - 07,"476,05","440,05","476,05","440,05","476,05","440,05","476,05","440,05","476,05","440,05",,,,,,,,,,,,,,
11-01-2021,07 - 08,"517,81","517,81","517,81","517,81","511,74","511,74","511,74","511,74","517,81","517,81",,,,,,,,,,,,,,
11-01-2021,08 - 09,"691,57","588,89","691,57","588,89","528,92","528,92","528,92","528,92","691,57","588,89",,,,,,,,,,,,,,
11-01-2021,09 - 10,"596,61","510,41","596,61","510,41","510,41","298,30","510,41","298,30","596,61","510,41",,,,,,,,,,,,,,
11-01-2021,10 - 11,"489,32","489,32","489,32","489,32","489,32","288,02","489,32","288,02","489,32","489,32",,,,,,,,,,,,,,
11-01-2021,11 - 12,"459,18","459,18","459,18","459,18","459,18","307,02","459,18","307,02","459,18","459,18",,,,,,,,,,,,,,
11-01-2021,12 - 13,"514,32","445,71","514,32","445,71","445,71","308,59","445,71","308,59","514,32","445,71",,,,,,,,,,,,,,
11-01-2021,13 - 14,"514,32","438,30","514,32","438,30","438,30","438,30","438,30","438,30","514,32","438,30",,,,,,,,,,,,,,
11-01-2021,14 - 15,"432,54","432,54","432,54","432,54","432,54","432,54","432,54","432,54","432,54","432,54",,,,,,,,,,,,,,
11-01-2021,15 - 16,"435,21","435,21","435,21","435,21","435,21","435,21","435,21","435,21","435,21","435,21",,,,,,,,,,,,,,
11-01-2021,16 - 17,"445,19","445,19","445,19","445,19","445,19","445,19","445,19","445,19","445,19","445,19",,,,,,,,,,,,,,
11-01-2021,17 - 18,"462,68","462,68","462,68","462,68","437,58","437,58","437,58","437,58","462,68","462,68",,,,,,,,,,,,,,
11-01-2021,18 - 19,"441,59","441,59","441,59","441,59","432,33","432,33","432,33","432,33","441,59","441,59",,,,,,,,,,,,,,
11-01-2021,19 - 20,"408,47","408,47","408,47","408,47","408,47","408,47","408,47","408,47","408,47","408,47",,,,,,,,,,,,,,
11-01-2021,20 - 21,"381,72","381,72","381,72","381,72","381,72","381,72","381,72","381,72","381,72","381,72",,,,,,,,,,,,,,
11-01-2021,21 - 22,"352,20","352,20","352,20","352,20","352,20","352,20","352,20","352,20","352,20","352,20",,,,,,,,,,,,,,
11-01-2021,22 - 23,"341,61","341,61","341,61","341,61","341,61","341,61","341,61","341,61","341,61","341,61",,,,,,,,,,,,,,
11-01-2021,23 - 00,"290,69","290,69","290,69","290,69","281,74","281,74","281,74","281,74","290,69","290,69",,,,,,,,,,,,,,
12-01-2021,00 - 01,"290,00","269,09","290,00","269,09","269,09","269,09","222,29","222,29","290,00","269,09",,,,,,,,,,,,,,
12-01-2021,01 - 02,"288,02","261,58","288,02","261,58","261,58","261,58","218,79","218,79","288,02","261,58",,,,,,,,,,,,,,
12-01-2021,02 - 03,"293,16","256,44","293,16","256,44","256,44","256,44","218,28","218,28","293,16","256,44",,,,,,,,,,,,,,
12-01-2021,03 - 04,"293,16","259,73","293,16","259,73","249,55","249,55","248,31","248,31","293,16","259,73",,,,,,,,,,,,,,
12-01-2021,04 - 05,"288,02","288,02","288,02","288,02","277,73","277,73","277,73","277,73","288,02","288,02",,,,,,,,,,,,,,
12-01-2021,05 - 06,"360,33","360,33","360,33","360,33","360,33","360,33","350,15","350,15","360,33","360,33",,,,,,,,,,,,,,
12-01-2021,06 - 07,"412,89","412,89","412,89","412,89","346,13","346,13","346,13","346,13","412,89","412,89",,,,,,,,,,,,,,
12-01-2021,07 - 08,"560,71","560,71","560,71","560,71","345,11","345,11","345,11","345,11","560,71","560,71",,,,,,,,,,,,,,
12-01-2021,08 - 09,"689,18","623,76","689,18","623,76","348,09","348,09","348,09","348,09","689,18","623,76",,,,,,,,,,,,,,
12-01-2021,09 - 10,"700,00","565,34","700,00","565,34","346,96","283,70","346,96","283,70","700,00","565,34",,,,,,,,,,,,,,
12-01-2021,10 - 11,"668,61","581,18","668,61","581,18","350,15","246,87","350,15","246,87","668,61","581,18",,,,,,,,,,,,,,
12-01-2021,11 - 12,"691,53","569,24","691,53","569,24","352,92","246,87","352,92","246,87","691,53","569,24",,,,,,,,,,,,,,
12-01-2021,12 - 13,"545,17","515,34","545,17","515,34","356,52","230,62","356,52","230,62","545,17","515,34",,,,,,,,,,,,,,
12-01-2021,13 - 14,"494,26","494,26","494,26","494,26","358,89","226,30","358,89","226,30","494,26","494,26",,,,,,,,,,,,,,
12-01-2021,14 - 15,"494,15","494,15","494,15","494,15","361,56","216,01","361,56","216,01","494,15","494,15",,,,,,,,,,,,,,
12-01-2021,15 - 16,"534,99","534,99","534,99","534,99","361,46","206,96","361,46","206,96","534,99","534,99",,,,,,,,,,,,,,
12-01-2021,16 - 17,"628,08","628,08","628,08","628,08","361,56","205,73","361,56","205,73","628,08","628,08",,,,,,,,,,,,,,
12-01-2021,17 - 18,"659,56","659,56","659,56","659,56","361,36","204,59","346,96","204,59","659,56","659,56",,,,,,,,,,,,,,
12-01-2021,18 - 19,"621,29","621,29","621,29","621,29","362,28","205,73","362,28","205,73","621,29","621,29",,,,,,,,,,,,,,
12-01-2021,19 - 20,"518,94","518,94","518,94","518,94","364,34","205,73","364,34","205,73","518,94","518,94",,,,,,,,,,,,,,
12-01-2021,20 - 21,"429,86","429,86","429,86","429,86","363,41","205,73","363,41","205,73","429,86","429,86",,,,,,,,,,,,,,
12-01-2021,21 - 22,"418,76","418,76","418,76","418,76","362,39","216,01","318,88","216,01","418,76","418,76",,,,,,,,,,,,,,
12-01-2021,22 - 23,"388,31","388,31","388,31","388,31","360,12","216,01","304,78","216,01","388,31","388,31",,,,,,,,,,,,,,
12-01-2021,23 - 00,"356,11","356,11","356,11","356,11","356,11","226,30","298,71","226,30","356,11","356,11",,,,,,,,,,,,,,
13-01-2021,00 - 01,"342,46","311,04","342,46","311,04","342,46","311,04","288,75","288,75","342,46","311,04",,,,,,,,,,,,,,
13-01-2021,01 - 02,"336,23","305,00","336,23","305,00","336,23","305,00","279,52","279,52","336,23","305,00",,,,,,,,,,,,,,
13-01-2021,02 - 03,"327,42","305,00","327,42","305,00","327,42","305,00","278,48","278,48","327,42","305,00",,,,,,,,,,,,,,
13-01-2021,03 - 04,"319,75","298,40","319,75","298,40","319,75","298,40","280,77","280,77","319,75","298,40",,,,,,,,,,,,,,
13-01-2021,04 - 05,"328,46","300,67","328,46","300,67","328,46","300,67","289,68","289,68","328,46","300,67",,,,,,,,,,,,,,
13-01-2021,05 - 06,"381,65","352,51","381,65","352,51","381,65","298,60","314,67","298,60","381,65","352,51",,,,,,,,,,,,,,
13-01-2021,06 - 07,"434,11","434,11","434,11","434,11","376,98","279,94","374,28","279,94","434,11","434,11",,,,,,,,,,,,,,
13-01-2021,07 - 08,"479,11","479,11","479,11","479,11","380,82","276,20","310,94","276,20","479,11","479,11",,,,,,,,,,,,,,
13-01-2021,08 - 09,"582,06","582,06","582,06","582,06","457,54","279,94","321,30","279,94","582,06","582,06",,,,,,,,,,,,,,
13-01-2021,09 - 10,"494,66","494,66","494,66","494,66","437,22","261,27","370,86","261,27","494,66","494,66",,,,,,,,,,,,,,
13-01-2021,10 - 11,"479,31","479,31","479,31","479,31","467,39","259,20","467,39","259,20","479,31","479,31",,,,,,,,,,,,,,
13-01-2021,11 - 12,"460,00","454,33","460,00","454,33","454,33","285,22","454,33","285,22","460,00","454,33",,,,,,,,,,,,,,
13-01-2021,12 - 13,"427,37","427,37","427,37","427,37","427,37","286,36","427,37","286,36","427,37","427,37",,,,,,,,,,,,,,
13-01-2021,13 - 14,"415,13","383,62","415,13","383,62","415,13","290,00","415,13","290,00","415,13","383,62",,,,,,,,,,,,,,
13-01-2021,14 - 15,"409,22","362,88","409,22","362,88","409,22","290,30","409,22","290,30","409,22","362,88",,,,,,,,,,,,,,
13-01-2021,15 - 16,"426,85","362,88","426,85","362,88","426,85","290,30","426,85","290,30","426,85","362,88",,,,,,,,,,,,,,
13-01-2021,16 - 17,"475,99","362,88","475,99","362,88","475,99","290,30","475,99","290,30","475,99","362,88",,,,,,,,,,,,,,
13-01-2021,17 - 18,"700,00","575,32","700,00","575,32","575,32","290,30","575,32","290,30","700,00","575,32",,,,,,,,,,,,,,
13-01-2021,18 - 19,"700,00","565,16","700,00","565,16","565,16","290,30","500,67","290,30","700,00","565,16",,,,,,,,,,,,,,
13-01-2021,19 - 20,"498,70","391,91","498,70","391,91","498,70","290,30","444,89","290,30","498,70","391,91",,,,,,,,,,,,,,
13-01-2021,20 - 21,"488,75","391,91","488,75","391,91","488,75","290,30","480,87","290,30","488,75","391,91",,,,,,,,,,,,,,
13-01-2021,21 - 22,"423,84","423,84","423,84","423,84","423,84","290,30","423,84","290,30","423,84","423,84",,,,,,,,,,,,,,
13-01-2021,22 - 23,"414,93","362,88","414,93","362,88","414,93","362,88","381,34","362,88","414,93","362,88",,,,,,,,,,,,,,
13-01-2021,23 - 00,"394,30","342,14","394,30","342,14","394,30","342,14","312,60","312,60","394,30","342,14",,,,,,,,,,,,,,
14-01-2021,00 - 01,"387,04","321,67","387,04","321,67","387,04","321,67","383,00","321,67","387,04","321,67",,,,,,,,,,,,,,
14-01-2021,01 - 02,"383,00","269,79","383,00","269,79","383,00","269,79","365,15","269,79","383,00","269,79",,,,,,,,,,,,,,
14-01-2021,02 - 03,"383,72","269,79","383,72","269,79","383,72","269,79","324,89","269,79","383,72","269,79",,,,,,,,,,,,,,
14-01-2021,03 - 04,"409,25","311,30","409,25","311,30","409,25","311,30","322,71","311,30","409,25","311,30",,,,,,,,,,,,,,
14-01-2021,04 - 05,"437,47","332,05","437,47","332,05","437,47","332,05","334,85","332,05","437,47","332,05",,,,,,,,,,,,,,
14-01-2021,05 - 06,"470,47","352,80","470,47","352,80","470,47","352,80","382,58","352,80","470,47","352,80",,,,,,,,,,,,,,
14-01-2021,06 - 07,"570,50","373,55","570,50","373,55","570,50","373,55","452,42","373,55","570,50","373,55",,,,,,,,,,,,,,
14-01-2021,07 - 08,"844,02","404,68","844,02","404,68","844,02","404,68","357,47","357,47","844,02","404,68",,,,,,,,,,,,,,
14-01-2021,08 - 09,"944,26","944,26","944,26","944,26","944,26","944,26","491,85","491,85","944,26","944,26",,,,,,,,,,,,,,
14-01-2021,09 - 10,"926,31","415,06","926,31","415,06","926,31","415,06","784,67","415,06","926,31","415,06",,,,,,,,,,,,,,
14-01-2021,10 - 11,"930,05","415,06","930,05","415,06","930,05","415,06","930,05","415,06","930,05","415,06",,,,,,,,,,,,,,
14-01-2021,11 - 12,"944,78","498,18","944,78","498,18","944,78","498,18","944,78","498,18","944,78","498,18",,,,,,,,,,,,,,
14-01-2021,12 - 13,"925,00","920,91","925,00","920,91","925,00","922,57","925,00","804,18","925,00","920,91",,,,,,,,,,,,,,
14-01-2021,13 - 14,"954,64","903,79","954,64","903,79","954,64","926,00","954,64","804,18","954,64","903,79",,,,,,,,,,,,,,
14-01-2021,14 - 15,"871,42","871,42","871,42","871,42","892,79","892,79","804,91","804,91","871,42","871,42",,,,,,,,,,,,,,
14-01-2021,15 - 16,"829,70","404,68","829,70","404,68","946,44","404,68","946,44","404,68","829,70","404,68",,,,,,,,,,,,,,
14-01-2021,16 - 17,"865,61","399,50","865,61","399,50","1037,03","399,50","1037,03","399,50","865,61","399,50",,,,,,,,,,,,,,
14-01-2021,17 - 18,"1044,60","394,31","1044,60","394,31","1070,23","394,31","1070,23","394,31","1044,60","394,31",,,,,,,,,,,,,,
14-01-2021,18 - 19,"935,55","394,31","935,55","394,31","958,58","394,31","958,58","394,31","935,55","394,31",,,,,,,,,,,,,,
14-01-2021,19 - 20,"910,02","394,31","910,02","394,31","910,02","394,31","910,02","394,31","910,02","394,31",,,,,,,,,,,,,,
14-01-2021,20 - 21,"773,88","394,31","773,88","394,31","773,88","394,31","773,88","394,31","773,88","394,31",,,,,,,,,,,,,,
14-01-2021,21 - 22,"651,02","404,68","651,02","404,68","608,79","404,68","608,79","404,68","651,02","404,68",,,,,,,,,,,,,,
14-01-2021,22 - 23,"1048,03","620,72","1048,03","620,72","490,08","335,00","490,08","335,00","1048,03","620,72",,,,,,,,,,,,,,
14-01-2021,23 - 00,"1046,07","576,93","1046,07","576,93","437,89","310,00","437,89","310,00","1046,07","576,93",,,,,,,,,,,,,,
15-01-2021,00 - 01,"723,73","506,40","723,73","506,40","471,77","310,17","393,09","310,17","723,73","506,40",,,,,,,,,,,,,,
15-01-2021,01 - 02,"723,73","491,00","723,73","491,00","473,22","350,73","381,51","350,73","723,73","491,00",,,,,,,,,,,,,,
15-01-2021,02 - 03,"620,34","477,87","620,34","477,87","471,04","350,73","379,44","350,73","620,34","477,87",,,,,,,,,,,,,,
15-01-2021,03 - 04,"620,34","468,36","620,34","468,36","468,36","350,73","379,85","350,73","620,34","468,36",,,,,,,,,,,,,,
15-01-2021,04 - 05,"751,56","480,35","751,56","480,35","469,70","350,73","381,20","350,73","751,56","480,35",,,,,,,,,,,,,,
15-01-2021,05 - 06,"789,01","515,61","789,01","515,61","468,67","350,73","381,41","350,73","789,01","515,61",,,,,,,,,,,,,,
15-01-2021,06 - 07,"901,88","651,05","901,88","651,05","426,38","300,66","395,47","300,66","901,88","651,05",,,,,,,,,,,,,,
15-01-2021,07 - 08,"1007,65","825,67","1007,65","825,67","467,84","300,55","396,60","300,55","1007,65","825,67",,,,,,,,,,,,,,
15-01-2021,08 - 09,"2067,80","999,16","2067,80","999,16","469,91","289,49","447,27","289,49","2067,80","999,16",,,,,,,,,,,,,,
15-01-2021,09 - 10,"2126,48","1035,55","2126,48","1010,74","468,98","289,49","448,71","289,49","2126,48","1010,74",,,,,,,,,,,,,,
15-01-2021,10 - 11,"2067,80","937,64","2067,80","937,64","467,12","289,49","450,99","289,49","2067,80","937,64",,,,,,,,,,,,,,
15-01-2021,11 - 12,"2067,80","899,18","2067,80","899,18","466,29","268,81","440,75","268,81","2067,80","899,18",,,,,,,,,,,,,,
15-01-2021,12 - 13,"2067,80","819,37","2067,80","819,37","438,48","254,95","395,57","254,95","2067,80","819,37",,,,,,,,,,,,,,
15-01-2021,13 - 14,"2067,80","792,38","2067,80","792,38","435,69","233,35","397,02","233,35","2067,80","792,38",,,,,,,,,,,,,,
15-01-2021,14 - 15,"1318,97","797,55","1318,97","797,55","433,41","217,12","400,95","217,12","1318,97","797,55",,,,,,,,,,,,,,
15-01-2021,15 - 16,"795,90","428,03","795,90","428,03","433,31","217,12","433,31","217,12","795,90","428,03",,,,,,,,,,,,,,
15-01-2021,16 - 17,"847,80","847,80","847,80","847,80","430,10","217,12","410,35","217,12","847,80","847,80",,,,,,,,,,,,,,
15-01-2021,17 - 18,"1250,87","1028,73","1250,87","1028,73","427,10","217,12","397,33","217,12","1250,87","1028,73",,,,,,,,,,,,,,
15-01-2021,18 - 19,"1250,87","1013,43","1250,87","1013,43","424,21","206,78","407,36","206,78","1250,87","1013,43",,,,,,,,,,,,,,
15-01-2021,19 - 20,"1389,86","982,31","1389,86","982,31","414,80","175,76","396,50","175,76","1389,86","982,31",,,,,,,,,,,,,,
15-01-2021,20 - 21,"806,44","798,17","806,44","798,17","411,91","175,76","397,95","175,76","806,44","798,17",,,,,,,,,,,,,,
15-01-2021,21 - 22,"694,57","694,57","694,57","694,57","410,77","175,76","394,23","175,76","694,57","694,57",,,,,,,,,,,,,,
15-01-2021,22 - 23,"651,36","647,43","651,36","647,43","412,32","206,78","381,92","206,78","651,36","647,43",,,,,,,,,,,,,,
15-01-2021,23 - 00,"580,00","555,20","580,00","555,20","410,46","206,78","381,10","206,78","580,00","555,20",,,,,,,,,,,,,,
16-01-2021,00 - 01,"797,14","547,40","797,14","547,40","403,77","247,46","399,65","247,46","797,14","547,40",,,,,,,,,,,,,,
16-01-2021,01 - 02,"796,74","532,55","796,74","532,55","406,86","250,00","371,60","250,00","796,74","532,55",,,,,,,,,,,,,,
16-01-2021,02 - 03,"693,02","514,30","693,02","514,30","407,59","250,00","366,55","250,00","693,02","514,30",,,,,,,,,,,,,,
16-01-2021,03 - 04,"618,65","499,56","618,65","499,56","408,62","263,96","365,83","263,96","618,65","499,56",,,,,,,,,,,,,,
